"","epNSCs","qNSCs","lpNSCs","gene"
"CG13197","Gene_body_2","Gene_body_2","Open_promoters","CG13197"
"Ir48a","Enhancers","H1","H1","Ir48a"
"Ir48b","Pc","Pc","H1","Ir48b"
"lncRNA:CR45377","H1","Pc","Enhancers","lncRNA:CR45377"
"pyr","Low_signal","Enhancers","Enhancers","pyr"
"ths","H1","H1","H1","ths"
"CG42493","Enhancers","H1","Low_signal","CG42493"
"Ir48c","H1","Pc","Enhancers","Ir48c"
"CG13192","Open_promoters","Gene_body_2","Gene_body_1","CG13192"
"Sobp","Enhancers","H1","H1","Sobp"
"CG34229","Low_signal","Gene_body_2","Gene_body_2","CG34229"
"S2P","Gene_body_1","Gene_body_2","Open_promoters","S2P"
"asRNA:CR44304","H1","Open_promoters","Low_signal","asRNA:CR44304"
"CG43190","H1","Open_promoters","Low_signal","CG43190"
"Sln","Gene_body_1","H1","H1","Sln"
"Mtor","Gene_body_2","Gene_body_2","Gene_body_1","Mtor"
"CG34230","Gene_body_1","Gene_body_1","Gene_body_1","CG34230"
"Twdlbeta","Gene_body_1","H1","H1","Twdlbeta"
"Damm","H1","Gene_body_2","Gene_body_2","Damm"
"CG42531","H1","Gene_body_2","Gene_body_2","CG42531"
"CR42532","Gene_body_2","Gene_body_2","Low_signal","CR42532"
"CG13185","Gene_body_1","Gene_body_1","Gene_body_1","CG13185"
"cuff","Gene_body_1","Gene_body_1","Gene_body_2","cuff"
"ERp60","Gene_body_2","Gene_body_2","Gene_body_1","ERp60"
"eEF1alpha1","HP1","Open_promoters","Open_promoters","eEF1alpha1"
"snoRNA:Me28S-A1322","Open_promoters","Open_promoters","Open_promoters","snoRNA:Me28S-A1322"
"MCPH1","Gene_body_1","Gene_body_2","Gene_body_1","MCPH1"
"Zip48C","Gene_body_1","Gene_body_1","Gene_body_1","Zip48C"
"reb","H1","H1","H1","reb"
"lncRNA:CR44305","H1","H1","Low_signal","lncRNA:CR44305"
"lncRNA:CR44312","H1","Low_signal","Low_signal","lncRNA:CR44312"
"exp","H1","H1","Low_signal","exp"
"PI31","Open_promoters","Open_promoters","Open_promoters","PI31"
"ADD1","Gene_body_2","Gene_body_2","Gene_body_1","ADD1"
"CG30036","Gene_body_2","H1","Gene_body_1","CG30036"
"CG30037","Gene_body_2","Gene_body_2","Gene_body_1","CG30037"
"GalT1","Open_promoters","Gene_body_2","Open_promoters","GalT1"
"RnrS","Open_promoters","Open_promoters","Open_promoters","RnrS"
"CG34231","Gene_body_2","Gene_body_2","Gene_body_1","CG34231"
"rho-7","Gene_body_2","Gene_body_2","Open_promoters","rho-7"
"CG8298","Low_signal","Gene_body_2","Gene_body_1","CG8298"
"lncRNA:CR45319","Low_signal","Enhancers","Low_signal","lncRNA:CR45319"
"lncRNA:CR45318","Low_signal","Enhancers","Low_signal","lncRNA:CR45318"
"otk","Enhancers","Enhancers","Enhancers","otk"
"lncRNA:CR44306","Enhancers","Enhancers","Enhancers","lncRNA:CR44306"
"otk2","Open_promoters","Open_promoters","Open_promoters","otk2"
"Mppe","Gene_body_2","Gene_body_2","Low_signal","Mppe"
"pds5","Gene_body_2","Gene_body_2","Gene_body_1","pds5"
"CG8321","Open_promoters","Open_promoters","Enhancers","CG8321"
"128up","Low_signal","Open_promoters","Open_promoters","128up"
"Polr3B","Gene_body_2","Gene_body_2","Gene_body_1","Polr3B"
"Drep1","H1","Enhancers","Enhancers","Drep1"
"CG44314","H1","Enhancers","Enhancers","CG44314"
"Drep3","H1","Enhancers","Enhancers","Drep3"
"CG8888","Low_signal","Enhancers","Enhancers","CG8888"
"jeb","Low_signal","Enhancers","Low_signal","jeb"
"CG18343","HP1","HP1","Enhancers","CG18343"
"SkpB","Low_signal","HP1","Enhancers","SkpB"
"Smyd4-4","Gene_body_1","Gene_body_2","Gene_body_2","Smyd4-4"
"OSCP1","Gene_body_1","Gene_body_1","Gene_body_1","OSCP1"
"Hen1","Gene_body_2","Gene_body_2","Gene_body_1","Hen1"
"CG8878","Gene_body_2","Gene_body_2","Gene_body_1","CG8878"
"CG8407","Low_signal","Gene_body_2","Low_signal","CG8407"
"Prp8","Gene_body_2","Gene_body_2","Gene_body_2","Prp8"
"mir-988","Gene_body_2","Gene_body_2","Gene_body_2","mir-988"
"scaRNA:PsiU2-55","Gene_body_1","Gene_body_2","Gene_body_2","scaRNA:PsiU2-55"
"CG13177","H1","H1","Enhancers","CG13177"
"CG34232","Gene_body_1","H1","Gene_body_1","CG34232"
"Oda","Gene_body_2","Gene_body_2","Low_signal","Oda"
"CCT5","Low_signal","Low_signal","Gene_body_2","CCT5"
"EndoG","Gene_body_2","Low_signal","Open_promoters","EndoG"
"asRNA:CR45264","Low_signal","Open_promoters","Enhancers","asRNA:CR45264"
"CG8860","Low_signal","Open_promoters","Enhancers","CG8860"
"wash","Gene_body_2","Gene_body_2","Open_promoters","wash"
"CG13175","Open_promoters","Open_promoters","Open_promoters","CG13175"
"CG33964","Open_promoters","Open_promoters","Open_promoters","CG33964"
"SmF","Open_promoters","Open_promoters","Open_promoters","SmF"
"Cyp6g1","H1","Low_signal","Low_signal","Cyp6g1"
"Cyp6g2","Gene_body_2","H1","H1","Cyp6g2"
"Cyp6t3","Gene_body_1","H1","Gene_body_1","Cyp6t3"
"CG8858","Gene_body_2","Gene_body_2","Gene_body_1","CG8858"
"RpS11","Open_promoters","Open_promoters","Open_promoters","RpS11"
"snoRNA:Me28S-C3420b","Low_signal","Open_promoters","Open_promoters","snoRNA:Me28S-C3420b"
"snoRNA:Me28S-C3420a","Low_signal","Open_promoters","Open_promoters","snoRNA:Me28S-C3420a"
"lncRNA:CR45276","Enhancers","Enhancers","Enhancers","lncRNA:CR45276"
"Sr-CII","Gene_body_1","HP1","Gene_body_2","Sr-CII"
"CG8854","Low_signal","Low_signal","Enhancers","CG8854"
"lncRNA:CR44313","H1","Low_signal","Low_signal","lncRNA:CR44313"
"CG43315","H1","H1","Enhancers","CG43315"
"CG43316","H1","Low_signal","Low_signal","CG43316"
"CG43244","Low_signal","Low_signal","H1","CG43244"
"CG13168","Low_signal","H1","H1","CG13168"
"Vha36-2","Low_signal","Low_signal","H1","Vha36-2"
"Cam","Enhancers","Open_promoters","Enhancers","Cam"
"lncRNA:CR43900","Open_promoters","Open_promoters","Enhancers","lncRNA:CR43900"
"CG42700","Low_signal","H1","Low_signal","CG42700"
"asRNA:CR45271","H1","H1","H1","asRNA:CR45271"
"CG8850","H1","H1","H1","CG8850"
"salto","Low_signal","H1","H1","salto"
"CG17739","Low_signal","H1","H1","CG17739"
"CG30203","H1","H1","H1","CG30203"
"CG30046","H1","H1","H1","CG30046"
"mIF3","H1","Gene_body_2","Open_promoters","mIF3"
"CG8841","Gene_body_2","Gene_body_2","Gene_body_2","CG8841"
"garz","Gene_body_2","Gene_body_2","Gene_body_2","garz"
"tRNA:His-GTG-1-3","Low_signal","Enhancers","Low_signal","tRNA:His-GTG-1-3"
"CG8490","Low_signal","Enhancers","Low_signal","CG8490"
"tRNA:His-GTG-1-4","Low_signal","Enhancers","Low_signal","tRNA:His-GTG-1-4"
"tRNA:His-GTG-2-1Psi","Low_signal","Enhancers","Enhancers","tRNA:His-GTG-2-1Psi"
"CG34021","Low_signal","Enhancers","Enhancers","CG34021"
"Den1","Open_promoters","Gene_body_2","Low_signal","Den1"
"CG8839","Gene_body_2","Gene_body_2","Gene_body_1","CG8839"
"ana3","Gene_body_1","Gene_body_1","Gene_body_1","ana3"
"CG30047","Gene_body_1","H1","Gene_body_1","CG30047"
"CG30049","H1","H1","H1","CG30049"
"CG30043","H1","H1","H1","CG30043"
"CR33013","H1","H1","H1","CR33013"
"CG33012","H1","H1","H1","CG33012"
"CG13160","H1","H1","H1","CG13160"
"CG13159","H1","H1","H1","CG13159"
"Cpr49Aa","H1","H1","H1","Cpr49Aa"
"Cpr49Ab","H1","H1","Low_signal","Cpr49Ab"
"CG13155","H1","H1","H1","CG13155"
"CG8501","H1","H1","H1","CG8501"
"Cpr49Ac","H1","Enhancers","Enhancers","Cpr49Ac"
"Cpr49Ad","H1","Low_signal","H1","Cpr49Ad"
"Or49a","H1","H1","H1","Or49a"
"CG30048","H1","H1","H1","CG30048"
"Cpr49Ae","H1","H1","H1","Cpr49Ae"
"Cpr49Af","H1","H1","H1","Cpr49Af"
"Cpr49Ag","H1","H1","H1","Cpr49Ag"
"CG30050","H1","H1","H1","CG30050"
"CG33626","H1","H1","Low_signal","CG33626"
"CG33627","H1","H1","H1","CG33627"
"Cpr49Ah","H1","H1","H1","Cpr49Ah"
"CG13157","Low_signal","H1","H1","CG13157"
"CG8834","H1","H1","H1","CG8834"
"CG8520","Open_promoters","Open_promoters","Open_promoters","CG8520"
"Dera","Gene_body_1","Gene_body_1","Gene_body_1","Dera"
"CG13154","Gene_body_2","Gene_body_2","Low_signal","CG13154"
"Nup54","Gene_body_1","Gene_body_1","Open_promoters","Nup54"
"CG43204","Open_promoters","Open_promoters","Open_promoters","CG43204"
"DUBAI","Gene_body_2","Gene_body_2","Gene_body_1","DUBAI"
"Tmem18","Open_promoters","Open_promoters","Open_promoters","Tmem18"
"Dyb","H1","Enhancers","Enhancers","Dyb"
"CG30334","Low_signal","Low_signal","Enhancers","CG30334"
"Lac","Pc","Pc","Pc","Lac"
"dgt5","Gene_body_2","Gene_body_1","Gene_body_1","dgt5"
"CG8545","Gene_body_2","Open_promoters","Gene_body_1","CG8545"
"Nepl10","Gene_body_1","H1","Gene_body_1","Nepl10"
"Dh44-R2","H1","Gene_body_2","Gene_body_2","Dh44-R2"
"CG34234","Gene_body_1","Gene_body_2","Gene_body_2","CG34234"
"fdl","Low_signal","Gene_body_2","Low_signal","fdl"
"s-cup","Low_signal","Open_promoters","Enhancers","s-cup"
"achi","Low_signal","Gene_body_2","Low_signal","achi"
"CG13151","Gene_body_2","Open_promoters","Open_promoters","CG13151"
"CG8818","Open_promoters","Open_promoters","Open_promoters","CG8818"
"CG8569","Gene_body_2","Open_promoters","Open_promoters","CG8569"
"fra","Enhancers","Enhancers","Enhancers","fra"
"CG30056","Gene_body_2","Gene_body_2","Gene_body_1","CG30056"
"Cyp301a1","Gene_body_2","Gene_body_1","Gene_body_1","Cyp301a1"
"Ak6","Low_signal","Gene_body_2","Open_promoters","Ak6"
"stil","Low_signal","Low_signal","HP1","stil"
"ClC-b","Gene_body_1","Gene_body_1","Gene_body_2","ClC-b"
"Sin3A","Gene_body_2","Gene_body_2","Gene_body_2","Sin3A"
"lncRNA:CR30055","Open_promoters","Open_promoters","Enhancers","lncRNA:CR30055"
"lncRNA:CR45279","Low_signal","Enhancers","Low_signal","lncRNA:CR45279"
"Amph","H1","H1","Enhancers","Amph"
"lncRNA:CR43909","Low_signal","Enhancers","Low_signal","lncRNA:CR43909"
"CG45086","Gene_body_1","Gene_body_2","Gene_body_2","CG45086"
"Galphaq","Gene_body_1","Gene_body_2","Gene_body_2","Galphaq"
"CG30054","Gene_body_1","Gene_body_1","Gene_body_2","CG30054"
"CG17760","Gene_body_1","Gene_body_1","Gene_body_1","CG17760"
"muskelin","Gene_body_2","Gene_body_1","Gene_body_1","muskelin"
"spt4","Open_promoters","Open_promoters","Open_promoters","spt4"
"CG33672","Open_promoters","Open_promoters","Open_promoters","CG33672"
"Mvk","Open_promoters","Open_promoters","Open_promoters","Mvk"
"Iswi","Gene_body_2","Gene_body_1","Gene_body_2","Iswi"
"CG8785","Low_signal","H1","H1","CG8785"
"CG8778","Low_signal","Gene_body_2","Open_promoters","CG8778"
"ZnT49B","Gene_body_2","Gene_body_2","Open_promoters","ZnT49B"
"CG8646","H1","Gene_body_2","Enhancers","CG8646"
"nemy","Enhancers","Enhancers","H1","nemy"
"GLS","H1","H1","Gene_body_1","GLS"
"Nup188","Gene_body_2","Gene_body_2","Gene_body_1","Nup188"
"CG13148","Low_signal","Enhancers","Enhancers","CG13148"
"CG30053","Gene_body_1","Gene_body_1","Gene_body_1","CG30053"
"Obp49a","Gene_body_2","Low_signal","Low_signal","Obp49a"
"CG8768","Gene_body_2","Open_promoters","Open_promoters","CG8768"
"wuc","Enhancers","Enhancers","Enhancers","wuc"
"CG42663","Enhancers","Enhancers","Enhancers","CG42663"
"Mos","Gene_body_2","Gene_body_1","Gene_body_1","Mos"
"Taz","Gene_body_2","Open_promoters","Gene_body_2","Taz"
"mRpL18","Open_promoters","Open_promoters","Open_promoters","mRpL18"
"ox","Open_promoters","Open_promoters","Open_promoters","ox"
"Dgkepsilon","Open_promoters","Open_promoters","Open_promoters","Dgkepsilon"
"Nacalpha","Open_promoters","Open_promoters","Open_promoters","Nacalpha"
"CG12374","H1","H1","H1","CG12374"
"sca","Low_signal","Enhancers","Enhancers","sca"
"asRNA:CR45137","Low_signal","Enhancers","Enhancers","asRNA:CR45137"
"CG17580","H1","Enhancers","Enhancers","CG17580"
"lncRNA:CR44453","H1","Low_signal","Low_signal","lncRNA:CR44453"
"Cyp9h1","H1","HP1","H1","Cyp9h1"
"Or49b","H1","H1","Low_signal","Or49b"
"CG17575","H1","Low_signal","H1","CG17575"
"antr","H1","Gene_body_2","Gene_body_1","antr"
"CG30486","Gene_body_2","Gene_body_2","Gene_body_1","CG30486"
"asRNA:CR45468","Gene_body_2","Gene_body_2","Gene_body_1","asRNA:CR45468"
"bic","Open_promoters","Open_promoters","Open_promoters","bic"
"asRNA:CR43469","Gene_body_1","Gene_body_1","Gene_body_2","asRNA:CR43469"
"Balat","Gene_body_1","Gene_body_1","Open_promoters","Balat"
"Lfg","Gene_body_2","Low_signal","Gene_body_2","Lfg"
"asRNA:CR43468","Gene_body_2","Low_signal","Gene_body_2","asRNA:CR43468"
"AspRS","Open_promoters","Open_promoters","Open_promoters","AspRS"
"Nmda1","Open_promoters","Open_promoters","Open_promoters","Nmda1"
"asRNA:CR45141","Pc","Pc","Pc","asRNA:CR45141"
"vg","Pc","Pc","Pc","vg"
"lncRNA:CR46237","Pc","Pc","Pc","lncRNA:CR46237"
"lncRNA:CR46336","Pc","Pc","Pc","lncRNA:CR46336"
"lncRNA:CR46337","Pc","Pc","Pc","lncRNA:CR46337"
"lncRNA:CR44461","Pc","Pc","Pc","lncRNA:CR44461"
"NAT1","Enhancers","Gene_body_2","Gene_body_2","NAT1"
"CG13319","Enhancers","Open_promoters","Open_promoters","CG13319"
"sug","Gene_body_2","Gene_body_2","Gene_body_2","sug"
"CG17019","Gene_body_2","Gene_body_2","Gene_body_2","CG17019"
"SCCRO3","Gene_body_2","Open_promoters","Gene_body_2","SCCRO3"
"Sans","Gene_body_1","Pc","Pc","Sans"
"CG30487","Low_signal","Pc","Pc","CG30487"
"Mdr49","Pc","Pc","Pc","Mdr49"
"CG44251","Pc","Pc","Pc","CG44251"
"CG44250","Pc","Pc","Pc","CG44250"
"CG13321","Pc","Pc","Pc","CG13321"
"Psc","Pc","Pc","Pc","Psc"
"lncRNA:CR44339","Pc","Low_signal","Pc","lncRNA:CR44339"
"CG33798","Pc","Pc","Pc","CG33798"
"Su(z)2","Pc","Pc","Pc","Su(z)2"
"CG13324","Low_signal","HP1","Low_signal","CG13324"
"Drl-2","Low_signal","Enhancers","Enhancers","Drl-2"
"CG44341","Enhancers","Enhancers","Enhancers","CG44341"
"CG13325","Enhancers","Enhancers","Enhancers","CG13325"
"CG3955","Open_promoters","Open_promoters","Open_promoters","CG3955"
"CG13326","Gene_body_1","HP1","H1","CG13326"
"Cap-G","Open_promoters","Gene_body_1","Open_promoters","Cap-G"
"Ack-like","Gene_body_1","Gene_body_1","Gene_body_1","Ack-like"
"TppII","Gene_body_2","Gene_body_2","Gene_body_2","TppII"
"ND-MWFE","Open_promoters","Open_promoters","Open_promoters","ND-MWFE"
"Nrk","Gene_body_2","Gene_body_2","Open_promoters","Nrk"
"CG15870","Gene_body_2","Gene_body_2","Gene_body_1","CG15870"
"GLaz","Gene_body_1","H1","H1","GLaz"
"Spt-I","Gene_body_2","Gene_body_2","Gene_body_2","Spt-I"
"asRNA:CR45142","Gene_body_2","Gene_body_2","Gene_body_2","asRNA:CR45142"
"AGBE","Gene_body_1","Gene_body_1","Gene_body_1","AGBE"
"CG33137","Gene_body_2","Gene_body_1","Gene_body_2","CG33137"
"CG17724","Gene_body_2","Gene_body_2","Gene_body_2","CG17724"
"seq","Gene_body_2","Gene_body_2","Gene_body_2","seq"
"Kdm4B","Gene_body_2","Gene_body_2","Enhancers","Kdm4B"
"ValRS","Gene_body_2","Gene_body_2","Gene_body_2","ValRS"
"CG34315","Open_promoters","Gene_body_2","Gene_body_2","CG34315"
"Orc3","Open_promoters","Gene_body_2","Gene_body_2","Orc3"
"FLASH","Gene_body_1","Gene_body_1","Gene_body_1","FLASH"
"CG30058","Gene_body_1","Gene_body_1","Gene_body_2","CG30058"
"CG34235","Gene_body_1","Gene_body_1","Gene_body_2","CG34235"
"CG34312","Gene_body_1","Gene_body_1","Gene_body_2","CG34312"
"AQP","H1","Low_signal","Low_signal","AQP"
"CG4627","Low_signal","Gene_body_2","Open_promoters","CG4627"
"CG4630","Gene_body_2","Gene_body_2","Gene_body_2","CG4630"
"CG17059","Open_promoters","Open_promoters","Open_promoters","CG17059"
"Fsn","Open_promoters","Open_promoters","Open_promoters","Fsn"
"Dp","Open_promoters","Gene_body_2","Open_promoters","Dp"
"Pex13","Gene_body_2","Open_promoters","Open_promoters","Pex13"
"fsd","Gene_body_2","Open_promoters","Open_promoters","fsd"
"Qsox1","Gene_body_1","Gene_body_1","Gene_body_2","Qsox1"
"CG4676","Open_promoters","Open_promoters","Open_promoters","CG4676"
"CG4679","Gene_body_1","Gene_body_2","Gene_body_1","CG4679"
"GstE14","H1","H1","Low_signal","GstE14"
"Mp20","H1","Enhancers","H1","Mp20"
"CG4712","H1","Low_signal","HP1","CG4712"
"CG4714","H1","HP1","H1","CG4714"
"lncRNA:CR44343","H1","Enhancers","H1","lncRNA:CR44343"
"CG4716","H1","Low_signal","Low_signal","CG4716"
"CG10799","H1","H1","Enhancers","CG10799"
"CG42319","H1","Low_signal","H1","CG42319"
"Dh31-R","H1","Enhancers","Enhancers","Dh31-R"
"CG17047","Low_signal","Low_signal","H1","CG17047"
"lncRNA:CR44206","Enhancers","Enhancers","Enhancers","lncRNA:CR44206"
"mir-184","Enhancers","Enhancers","Enhancers","mir-184"
"CG17048","Enhancers","Pc","H1","CG17048"
"CG10814","Enhancers","H1","Low_signal","CG10814"
"CG43691","H1","HP1","H1","CG43691"
"AttC","Low_signal","H1","H1","AttC"
"CG4744","H1","H1","H1","CG4744"
"CG18278","Low_signal","Low_signal","Gene_body_2","CG18278"
"ATP8A","H1","Open_promoters","Enhancers","ATP8A"
"tRNA:Leu-CAA-1-1","Low_signal","Enhancers","Enhancers","tRNA:Leu-CAA-1-1"
"Ser8","Low_signal","Low_signal","H1","Ser8"
"cnn","Gene_body_2","Gene_body_2","Gene_body_2","cnn"
"CG30062","Gene_body_2","Gene_body_2","Low_signal","CG30062"
"cbs","Open_promoters","Open_promoters","Open_promoters","cbs"
"arr","Gene_body_2","Enhancers","Gene_body_1","arr"
"CG43192","Low_signal","Enhancers","Low_signal","CG43192"
"cid","Open_promoters","Open_promoters","Open_promoters","cid"
"bbc","Gene_body_2","Gene_body_1","Gene_body_1","bbc"
"drk","Enhancers","Open_promoters","Enhancers","drk"
"mars","Open_promoters","Open_promoters","Open_promoters","mars"
"mip120","Gene_body_2","Gene_body_2","Gene_body_2","mip120"
"mEFTu1","Gene_body_2","Gene_body_2","Gene_body_2","mEFTu1"
"Vmat","H1","Pc","H1","Vmat"
"CG13330","H1","H1","H1","CG13330"
"CG13332","Low_signal","Pc","Enhancers","CG13332"
"tRNA:Lys-CTT-1-10","Low_signal","Pc","Pc","tRNA:Lys-CTT-1-10"
"NADK","H1","Pc","Gene_body_1","NADK"
"CG33156","Low_signal","Gene_body_1","Gene_body_1","CG33156"
"Roe1","Gene_body_2","Open_promoters","Open_promoters","Roe1"
"link","Gene_body_2","Gene_body_2","Gene_body_1","link"
"snoRNA:Psi28S-1153","Gene_body_2","Gene_body_2","Low_signal","snoRNA:Psi28S-1153"
"CG13334","Low_signal","HP1","Low_signal","CG13334"
"CG42807","Enhancers","Low_signal","Enhancers","CG42807"
"CG42808","Low_signal","HP1","Enhancers","CG42808"
"CG6191","Low_signal","Gene_body_2","Enhancers","CG6191"
"CG45088","Low_signal","Gene_body_2","Enhancers","CG45088"
"fand","Gene_body_2","Gene_body_2","Gene_body_2","fand"
